finance_id,sku_id,posting_date,revenue,cost,margin,source
35,SKU-ir862,2026-01-04,3011.49,2600.27,411.22,finance_system
36,SKU-FW876,2026-07-15,1632.48,1341.8,290.68,finance_system
37,SKU-lK201,2026-08-28,3552.04,3124.14,427.9,finance_system
38,SKU-SB850,2026-01-06,2134.54,1395.77,738.77,finance_system
39,SKU-Os099,2026-12-10,4901.53,4175.94,725.59,finance_system
40,SKU-zo215,2026-05-06,1652.65,1413.75,238.9,finance_system
41,SKU-Ii336,2026-10-30,2477.63,1580.75,896.88,finance_system
42,SKU-uE392,2026-09-18,1070.0,901.8,168.2,finance_system
43,SKU-aC385,2026-08-13,965.38,609.66,355.72,finance_system
44,SKU-bc680,2026-10-21,2019.81,1662.26,357.55,finance_system
45,SKU-bc680,2026-11-05,2904.64,2208.22,696.42,finance_system
46,SKU-Om880,2026-10-22,3694.39,2523.16,1171.23,finance_system
47,SKU-Rq512,2026-04-17,3350.54,2104.15,1246.39,finance_system
48,SKU-OE374,2026-10-10,2038.68,1508.87,529.81,finance_system
49,SKU-Os099,2026-05-23,3434.26,2185.72,1248.54,finance_system
50,SKU-uE392,2026-06-16,4001.05,3133.93,867.12,finance_system
51,SKU-SB850,2026-06-09,1552.15,936.2,615.95,finance_system
52,SKU-SB850,2026-07-10,1632.66,1068.92,563.74,finance_system
53,SKU-Lw191,2026-03-25,4776.16,3694.28,1081.88,finance_system
54,SKU-Os099,2026-05-19,435.04,284.41,150.63,finance_system
55,SKU-SM033,2026-08-13,856.24,515.96,340.28,finance_system
56,SKU-ms236,2026-06-12,3570.36,2200.11,1370.25,finance_system
57,SKU-Lw191,2026-04-13,348.4,217.28,131.12,finance_system
58,SKU-FW876,2026-10-21,3455.7,2331.16,1124.54,finance_system
59,SKU-Kz406,2026-11-25,3341.39,2258.55,1082.84,finance_system
60,SKU-Cw787,2026-07-03,1268.91,949.01,319.9,finance_system
61,SKU-aC385,2026-05-26,4278.56,3390.19,888.37,finance_system
62,SKU-HE021,2026-04-20,4110.1,2666.1,1444.0,finance_system
63,SKU-HE021,2026-09-15,1384.5,1195.59,188.91,finance_system
64,SKU-zo215,2026-12-26,3542.21,2783.48,758.73,finance_system
65,SKU-jM908,2026-07-28,1916.06,1258.7,657.36,finance_system
66,SKU-Om880,2026-05-17,1994.86,1533.12,461.74,finance_system
67,SKU-ir862,2026-12-17,4244.13,3702.87,541.26,finance_system
68,SKU-Cs979,2026-03-14,4795.63,3679.13,1116.5,finance_system
69,SKU-bD403,2026-04-10,1182.46,741.97,440.49,finance_system
70,SKU-DX100,2026-04-28,4158.31,3248.21,910.1,finance_system
71,SKU-uE392,2026-09-07,2544.91,1605.29,939.62,finance_system
72,SKU-YT892,2026-03-22,4786.5,3645.49,1141.01,finance_system
73,SKU-Ii336,2026-09-20,3957.51,3198.61,758.9,finance_system
74,SKU-YT892,2026-07-05,1748.77,1565.41,183.36,finance_system
75,SKU-hg981,2026-04-27,1918.78,1298.08,620.7,finance_system
76,SKU-fj578,2026-04-03,1498.37,1302.31,196.06,finance_system
77,SKU-fj578,2026-12-20,3451.58,3104.79,346.79,finance_system
78,SKU-Ii336,2026-07-13,4008.1,2662.27,1345.83,finance_system
79,SKU-Vj640,2026-07-25,4529.45,3899.82,629.63,finance_system
80,SKU-hg981,2026-01-10,1743.31,1092.83,650.48,finance_system
81,SKU-Kd135,2026-03-15,665.88,585.51,80.37,finance_system
82,SKU-dm706,2026-09-10,1660.63,1015.49,645.14,finance_system
83,SKU-Ii336,2026-05-18,1212.0,978.92,233.08,finance_system
84,SKU-Cw787,2026-04-20,3333.85,2453.14,880.71,finance_system
85,SKU-EZ203,2026-03-17,604.41,397.03,207.38,finance_system
86,SKU-Kz406,2026-09-18,379.65,264.3,115.35,finance_system
87,SKU-OE374,2026-12-19,4925.01,3396.99,1528.02,finance_system
88,SKU-rT045,2026-07-25,3671.3,3190.76,480.54,finance_system
89,SKU-kJ180,2026-12-25,4857.08,4093.8,763.28,finance_system
90,SKU-Rq512,2026-06-30,811.19,549.33,261.86,finance_system
91,SKU-OK386,2026-03-02,3413.85,2510.61,903.24,finance_system
92,SKU-jM908,2026-01-02,2590.32,1972.7,617.62,finance_system
93,SKU-Os099,2026-11-26,1481.64,1056.99,424.65,finance_system
94,SKU-hg981,2026-09-02,2167.45,1894.37,273.08,finance_system
95,SKU-Kl808,2026-07-07,2610.83,2157.25,453.58,finance_system
96,SKU-FW876,2026-07-25,2508.36,1646.96,861.4,finance_system
97,SKU-Os099,2026-12-03,1498.02,1070.75,427.27,finance_system
98,SKU-kJ180,2026-01-24,1555.73,1302.02,253.71,finance_system
99,SKU-DX100,2026-10-06,940.45,763.98,176.47,finance_system
100,SKU-Ii336,2026-05-20,2794.85,2028.49,766.36,finance_system
101,SKU-xo650,2026-10-12,1860.41,1159.73,700.68,finance_system
102,SKU-bD403,2026-03-05,784.93,645.83,139.1,finance_system
103,SKU-Vj640,2026-12-30,2764.78,1702.11,1062.67,finance_system
104,SKU-FW876,2026-08-17,3645.0,2474.66,1170.34,finance_system
105,SKU-YT892,2026-03-12,3258.22,2790.04,468.18,finance_system
106,SKU-TI299,2026-02-09,2157.56,1470.38,687.18,finance_system
107,SKU-Rq512,2026-05-19,3335.4,2660.05,675.35,finance_system
108,SKU-rT045,2026-09-10,4599.55,3945.58,653.97,finance_system
109,SKU-Cw787,2026-11-02,3850.73,3043.58,807.15,finance_system
110,SKU-eJ664,2026-11-11,1739.31,1159.68,579.63,finance_system
111,SKU-bD403,2026-08-19,3207.64,2240.32,967.32,finance_system
112,SKU-lK201,2026-08-28,3387.2,2159.34,1227.86,finance_system
113,SKU-OE374,2026-01-24,1130.1,947.94,182.16,finance_system
114,SKU-Gq397,2026-11-22,1669.18,1487.23,181.95,finance_system
115,SKU-bc680,2026-04-01,3416.64,3043.62,373.02,finance_system
116,SKU-xo650,2026-08-19,2845.55,1988.61,856.94,finance_system
117,SKU-Cs979,2026-12-17,4786.81,3871.31,915.5,finance_system
118,SKU-Kd135,2026-06-15,3087.45,2672.96,414.49,finance_system
119,SKU-Kl808,2026-08-20,1147.33,982.23,165.1,finance_system
120,SKU-Ii336,2026-01-23,3984.44,3274.2,710.24,finance_system
121,SKU-Cw787,2026-01-29,1686.0,1506.92,179.08,finance_system
122,SKU-bD403,2026-11-11,1966.1,1408.35,557.75,finance_system
123,SKU-Vj640,2026-12-16,1899.79,1310.81,588.98,finance_system
124,SKU-Kl808,2026-07-27,577.75,418.06,159.69,finance_system
125,SKU-gw737,2026-03-16,3618.41,2230.06,1388.35,finance_system
126,SKU-bc680,2026-04-11,1480.88,1310.79,170.09,finance_system
127,SKU-bH250,2026-11-28,3657.45,2693.87,963.58,finance_system
128,SKU-EZ203,2026-12-11,1834.52,1447.58,386.94,finance_system
129,SKU-DX100,2026-10-12,3452.79,2810.82,641.97,finance_system
130,SKU-OE374,2026-11-17,4231.58,3370.19,861.39,finance_system
131,SKU-cW269,2026-08-09,1587.6,1008.41,579.19,finance_system
132,SKU-Vj640,2026-12-13,4819.8,3296.71,1523.09,finance_system
133,SKU-Kz406,2026-08-17,1200.06,752.92,447.14,finance_system
134,SKU-Vj640,2026-02-02,680.48,410.28,270.2,finance_system
135,SKU-sS478,2026-08-01,2339.48,2075.81,263.67,finance_system
136,SKU-jM908,2026-04-05,4924.91,3319.29,1605.62,finance_system
137,SKU-cm125,2026-04-02,3402.91,2965.46,437.45,finance_system
138,SKU-AJ723,2026-07-12,2425.73,1763.94,661.79,finance_system
139,SKU-Ii336,2026-09-25,3161.97,2073.01,1088.96,finance_system
140,SKU-Tt192,2026-12-29,2472.34,2218.14,254.2,finance_system
141,SKU-Gq397,2026-01-31,3922.0,2582.01,1339.99,finance_system
142,SKU-dm706,2026-12-08,573.64,380.89,192.75,finance_system
143,SKU-Os099,2026-07-27,4030.47,3475.28,555.19,finance_system
144,SKU-Kz406,2026-03-12,4786.2,3915.47,870.73,finance_system
145,SKU-AJ723,2026-01-10,4741.66,3489.98,1251.68,finance_system
146,SKU-bH250,2026-09-29,1069.12,857.27,211.85,finance_system
147,SKU-OE374,2026-09-23,2955.32,2340.41,614.91,finance_system
148,SKU-dm706,2026-01-12,3719.14,3141.5,577.64,finance_system
149,SKU-Cs979,2026-04-15,445.06,321.38,123.68,finance_system
150,SKU-SM033,2026-06-10,2435.25,1648.68,786.57,finance_system
151,SKU-aC385,2026-11-01,423.04,265.63,157.41,finance_system
152,SKU-AJ723,2026-01-03,537.15,403.89,133.26,finance_system
153,SKU-AJ723,2026-02-06,690.67,543.1,147.57,finance_system
154,SKU-AJ723,2026-12-05,3315.52,2685.01,630.51,finance_system
155,SKU-Vj640,2026-10-20,4984.85,3398.78,1586.07,finance_system
156,SKU-SB850,2026-01-07,838.57,644.44,194.13,finance_system
157,SKU-DX100,2026-09-04,4080.54,3276.98,803.56,finance_system
158,SKU-RI926,2026-10-02,2537.25,1610.02,927.23,finance_system
159,SKU-DX100,2026-04-02,322.81,229.22,93.59,finance_system
160,SKU-RI926,2026-02-08,768.63,664.81,103.82,finance_system
161,SKU-oE096,2026-10-19,1357.08,844.06,513.02,finance_system
162,SKU-Kl808,2026-05-20,4500.04,3382.34,1117.7,finance_system
163,SKU-eJ664,2026-09-12,3301.49,2154.24,1147.25,finance_system
164,SKU-hg981,2026-08-23,2966.19,2342.62,623.57,finance_system
165,SKU-YT892,2026-04-10,263.17,172.58,90.59,finance_system
166,SKU-Kd135,2026-02-19,2208.79,1592.43,616.36,finance_system
167,SKU-kJ180,2026-06-28,2796.29,1944.84,851.45,finance_system
168,SKU-uE392,2026-05-26,1853.54,1283.71,569.83,finance_system
169,SKU-fj578,2026-11-11,2466.58,1677.55,789.03,finance_system
170,SKU-SM033,2026-01-13,4572.75,3010.77,1561.98,finance_system
171,SKU-AJ723,2026-03-08,1215.75,1070.44,145.31,finance_system
172,SKU-uE392,2026-06-08,3767.99,2831.22,936.77,finance_system
173,SKU-Om880,2026-11-08,2721.19,2407.15,314.04,finance_system
174,SKU-bH250,2026-12-03,888.77,682.14,206.63,finance_system
175,SKU-FW876,2026-04-02,884.05,609.69,274.36,finance_system
176,SKU-OK386,2026-06-05,3262.26,2822.79,439.47,finance_system
177,SKU-fj578,2026-11-11,3452.85,2635.92,816.93,finance_system
178,SKU-OE374,2026-09-30,573.57,375.35,198.22,finance_system
179,SKU-uE392,2026-04-29,2904.5,2477.51,426.99,finance_system
180,SKU-aC385,2026-03-26,3354.0,2605.98,748.02,finance_system
181,SKU-bH250,2026-02-12,1318.56,1043.24,275.32,finance_system
182,SKU-AJ723,2026-03-31,1873.06,1236.31,636.75,finance_system
183,SKU-Cs979,2026-07-09,4379.18,3072.11,1307.07,finance_system
184,SKU-bc680,2026-06-09,1243.55,861.86,381.69,finance_system
185,SKU-bH250,2026-08-03,2807.89,2472.37,335.52,finance_system
186,SKU-bH250,2026-07-23,2168.07,1829.13,338.94,finance_system
187,SKU-AJ723,2026-08-20,4211.08,2957.11,1253.97,finance_system
188,SKU-Gw555,2026-04-30,2488.67,1735.29,753.38,finance_system
189,SKU-FW876,2026-12-05,1026.75,765.63,261.12,finance_system
190,SKU-Gq397,2026-08-16,145.05,116.38,28.67,finance_system
191,SKU-eJ664,2026-10-03,3514.34,2578.81,935.53,finance_system
192,SKU-lK201,2026-02-11,1032.33,783.17,249.16,finance_system
193,SKU-OK386,2026-08-19,4552.43,3634.75,917.68,finance_system
194,SKU-HE021,2026-05-21,741.37,570.72,170.65,finance_system
195,SKU-ms236,2026-04-27,3215.19,2794.59,420.6,finance_system
196,SKU-Vj640,2026-08-06,1358.87,1106.35,252.52,finance_system
197,SKU-OK386,2026-06-02,3242.07,2095.05,1147.02,finance_system
198,SKU-dm706,2026-12-14,490.35,339.77,150.58,finance_system
199,SKU-Kd135,2026-08-25,2699.21,2282.94,416.27,finance_system
200,SKU-SB850,2026-06-17,2816.93,2348.8,468.13,finance_system
201,SKU-Om880,2026-09-20,434.82,323.84,110.98,finance_system
202,SKU-HE021,2026-10-18,2013.52,1791.69,221.83,finance_system
203,SKU-OK386,2026-03-06,258.29,178.03,80.26,finance_system
204,SKU-xo650,2026-02-15,387.26,244.65,142.61,finance_system
205,SKU-kJ180,2026-10-11,3152.95,2296.49,856.46,finance_system
206,SKU-cm125,2026-11-13,2707.15,2058.84,648.31,finance_system
207,SKU-Tt192,2026-06-22,2253.86,1458.48,795.38,finance_system
208,SKU-hg981,2026-05-12,2038.45,1366.12,672.33,finance_system
209,SKU-OE374,2026-10-03,2811.1,2248.15,562.95,finance_system
210,SKU-Cw787,2026-07-03,1304.17,1147.86,156.31,finance_system
211,SKU-Om880,2026-01-02,3229.73,2835.18,394.55,finance_system
212,SKU-Gq397,2026-10-05,230.84,158.87,71.97,finance_system
213,SKU-Rq512,2026-05-09,1983.48,1610.63,372.85,finance_system
214,SKU-SB850,2026-09-05,1356.12,821.66,534.46,finance_system
215,SKU-OE374,2026-04-09,4524.95,3129.25,1395.7,finance_system
216,SKU-Cs979,2026-12-13,3542.35,2503.49,1038.86,finance_system
217,SKU-AJ723,2026-01-22,1800.74,1388.62,412.12,finance_system
218,SKU-jM908,2026-09-23,4875.28,3118.23,1757.05,finance_system
219,SKU-Gw555,2026-06-02,1805.94,1112.53,693.41,finance_system
220,SKU-Kl808,2026-01-16,3750.95,3288.45,462.5,finance_system
221,SKU-My271,2026-11-18,1088.63,860.9,227.73,finance_system
222,SKU-bH250,2026-03-02,4790.6,2879.73,1910.87,finance_system
223,SKU-FW876,2026-05-17,2656.44,2094.29,562.15,finance_system
224,SKU-HE021,2026-03-02,1479.95,1028.76,451.19,finance_system
225,SKU-OK386,2026-03-24,4416.69,3857.56,559.13,finance_system
226,SKU-jM908,2026-07-11,1621.1,1071.47,549.63,finance_system
227,SKU-SM033,2026-04-01,607.72,520.56,87.16,finance_system
228,SKU-hg981,2026-01-07,3867.78,2597.96,1269.82,finance_system
229,SKU-cW269,2026-01-04,3576.72,2853.01,723.71,finance_system
230,SKU-aC385,2026-04-02,1813.73,1131.89,681.84,finance_system
231,SKU-zo215,2026-03-05,3909.44,3000.83,908.61,finance_system
232,SKU-Kz406,2026-03-02,3137.7,2738.94,398.76,finance_system
233,SKU-Vj640,2026-10-18,2449.33,1530.98,918.35,finance_system
234,SKU-Kl808,2026-03-28,4147.01,2757.94,1389.07,finance_system
235,SKU-Lw191,2026-12-26,3301.59,1995.39,1306.2,finance_system
236,SKU-SB850,2026-04-13,4788.84,3829.87,958.97,finance_system
237,SKU-gw737,2026-07-31,3999.28,3279.46,719.82,finance_system
238,SKU-Gw555,2026-01-30,4046.03,2923.37,1122.66,finance_system
239,SKU-DX100,2026-11-20,1640.57,1369.85,270.72,finance_system
240,SKU-FW876,2026-02-07,927.71,666.7,261.01,finance_system
241,SKU-FW876,2026-11-29,436.72,278.43,158.29,finance_system
242,SKU-ms236,2026-09-21,3192.58,2029.41,1163.17,finance_system
243,SKU-RI926,2026-10-17,3167.13,2283.69,883.44,finance_system
244,SKU-sS478,2026-10-09,1953.12,1284.05,669.07,finance_system
245,SKU-eJ664,2026-08-28,2652.32,2260.02,392.3,finance_system
246,SKU-My271,2026-07-06,1043.12,879.78,163.34,finance_system
247,SKU-Lw191,2026-07-24,4823.73,3627.89,1195.84,finance_system
248,SKU-dm706,2026-06-08,4354.56,3701.2,653.36,finance_system
249,SKU-DX100,2026-04-20,3523.86,2968.71,555.15,finance_system
250,SKU-Om880,2026-04-12,2734.02,2256.47,477.55,finance_system
251,SKU-dm706,2026-12-06,1530.69,1266.47,264.22,finance_system
252,SKU-ir862,2026-12-30,2805.52,2316.17,489.35,finance_system
253,SKU-Os099,2026-02-08,1386.37,895.18,491.19,finance_system
254,SKU-TI299,2026-04-29,4860.61,3409.74,1450.87,finance_system
255,SKU-rT045,2026-01-31,1957.6,1593.95,363.65,finance_system
256,SKU-AJ723,2026-02-02,3882.56,2808.56,1074.0,finance_system
257,SKU-cW269,2026-08-22,673.55,574.36,99.19,finance_system
258,SKU-jM908,2026-03-22,3615.4,2363.74,1251.66,finance_system
259,SKU-gw737,2026-09-05,2507.66,2166.54,341.12,finance_system
260,SKU-EZ203,2026-02-28,4025.65,3326.98,698.67,finance_system
261,SKU-ir862,2026-04-11,3860.47,3044.12,816.35,finance_system
262,SKU-Vj640,2026-03-18,2717.11,1813.59,903.52,finance_system
263,SKU-zo215,2026-08-01,3581.75,3201.09,380.66,finance_system
264,SKU-HE021,2026-01-28,2695.65,2230.98,464.67,finance_system
265,SKU-bH250,2026-11-21,407.33,269.46,137.87,finance_system
266,SKU-YT892,2026-04-15,1542.68,1217.9,324.78,finance_system
267,SKU-gw737,2026-10-04,3305.74,2391.42,914.32,finance_system
268,SKU-bD403,2026-07-18,1215.49,742.14,473.35,finance_system
269,SKU-cW269,2026-05-15,2139.26,1570.63,568.63,finance_system
270,SKU-ir862,2026-07-28,2835.57,2095.06,740.51,finance_system
271,SKU-JZ195,2026-08-13,1347.37,1096.01,251.36,finance_system
272,SKU-My271,2026-11-07,944.21,781.59,162.62,finance_system
273,SKU-kJ180,2026-08-22,1694.56,1178.16,516.4,finance_system
274,SKU-OE374,2026-07-14,3325.52,2460.91,864.61,finance_system
275,SKU-eJ664,2026-02-07,2775.52,2178.68,596.84,finance_system
276,SKU-kJ180,2026-07-13,2577.77,2241.46,336.31,finance_system
277,SKU-Kl808,2026-09-10,1972.23,1640.36,331.87,finance_system
278,SKU-oE096,2026-10-14,3970.23,3151.95,818.28,finance_system
279,SKU-Cs979,2026-11-02,4322.73,3736.38,586.35,finance_system
280,SKU-gw737,2026-11-14,3183.32,2563.91,619.41,finance_system
281,SKU-TI299,2026-08-08,4963.93,3922.91,1041.02,finance_system
282,SKU-xo650,2026-04-09,4516.78,3502.87,1013.91,finance_system
283,SKU-DX100,2026-03-24,3372.74,2369.15,1003.59,finance_system
284,SKU-Os099,2026-02-26,3080.69,2126.17,954.52,finance_system
285,SKU-EZ203,2026-08-16,4662.27,3937.81,724.46,finance_system
286,SKU-TI299,2026-07-24,2255.95,1416.11,839.84,finance_system
287,SKU-TI299,2026-06-18,1849.22,1637.92,211.3,finance_system
288,SKU-HE021,2026-04-16,3893.39,3452.36,441.03,finance_system
289,SKU-kJ180,2026-05-13,656.9,418.19,238.71,finance_system
290,SKU-AJ723,2026-03-24,2128.01,1334.22,793.79,finance_system
291,SKU-dm706,2026-03-01,4795.14,3901.31,893.83,finance_system
292,SKU-Cw787,2026-12-09,2831.79,2485.71,346.08,finance_system
293,SKU-YT892,2026-06-25,4532.97,2817.58,1715.39,finance_system
294,SKU-bH250,2026-12-12,1167.55,970.12,197.43,finance_system
295,SKU-YT892,2026-06-15,1858.93,1574.3,284.63,finance_system
296,SKU-Ii336,2026-09-01,220.54,194.5,26.04,finance_system
297,SKU-ms236,2026-05-29,3369.82,2941.79,428.03,finance_system
298,SKU-YT892,2026-03-08,4520.25,2767.45,1752.8,finance_system
299,SKU-zo215,2026-09-14,2439.18,2054.5,384.68,finance_system
300,SKU-Om880,2026-06-14,2948.31,1956.8,991.51,finance_system
